time,r0_theta,r1_theta,r2_theta,r3_theta,r4_theta,r5_theta,r6_theta,r5_set
1763068877.873056,-0.018925487995147705,-0.09528577327728271,0.07941226661205292,0.6013045310974121,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.878111,-0.018928684294223785,-0.09528577327728271,0.07941226661205292,0.6013045310974121,0.7853693962097168,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.883111,-0.018931880593299866,-0.09528577327728271,0.07941226661205292,0.6013013124465942,0.7853693962097168,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.888156,-0.018925487995147705,-0.09528577327728271,0.07941226661205292,0.6013045310974121,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.8932438,-0.018928684294223785,-0.09528577327728271,0.07941226661205292,0.6013045310974121,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.898334,-0.018931880593299866,-0.09528577327728271,0.07941226661205292,0.6013045310974121,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.903466,-0.018928684294223785,-0.09528577327728271,0.079415462911129,0.6013045310974121,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.908503,-0.018928684294223785,-0.09528577327728271,0.079415462911129,0.6013076901435852,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.913617,-0.018928684294223785,-0.09528577327728271,0.079415462911129,0.6013076901435852,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.9186828,-0.018928684294223785,-0.09528577327728271,0.079415462911129,0.6013076901435852,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.923717,-0.018925487995147705,-0.09528577327728271,0.079415462911129,0.6013076901435852,0.7853693962097168,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.928767,-0.018931880593299866,-0.09528577327728271,0.07941865921020508,0.6013045310974121,0.7853693962097168,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.933897,-0.018928684294223785,-0.09528577327728271,0.07941865921020508,0.6013045310974121,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.938883,-0.018928684294223785,-0.09528577327728271,0.07941865921020508,0.6013076901435852,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.943997,-0.018928684294223785,-0.09528577327728271,0.07941865921020508,0.6013076901435852,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.949118,-0.018931880593299866,-0.0952889695763588,0.07941865921020508,0.6013045310974121,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.954172,-0.018928684294223785,-0.09528577327728271,0.07941865921020508,0.6013076901435852,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.959153,-0.018931880593299866,-0.09528577327728271,0.07941865921020508,0.6013013124465942,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.964281,-0.018931880593299866,-0.09528577327728271,0.07941865921020508,0.6013013124465942,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.9693482,-0.018925487995147705,-0.09528577327728271,0.07941865921020508,0.6013076901435852,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.974446,-0.018925487995147705,-0.09528577327728271,0.07941865921020508,0.6013076901435852,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.9795551,-0.018931880593299866,-0.09528577327728271,0.07942185550928116,0.6013076901435852,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.9846091,-0.018925487995147705,-0.09528577327728271,0.07942185550928116,0.6013045310974121,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.989661,-0.018928684294223785,-0.09528577327728271,0.07942185550928116,0.6013045310974121,0.7853726148605347,-0.7775156497955322,0.6547129154205322,1.5707963267948966
1763068877.994745,-0.018928684294223785,-0.09528577327728271,0.07942185550928116,0.6013076901435852,0.7853726148605347,-0.777508020401001,0.6547129154205322,1.5707963267948966
1763068877.9998899,-0.018925487995147705,-0.09528577327728271,0.07942185550928116,0.6013076901435852,0.7853726148605347,-0.777508020401001,0.6547129154205322,1.5707963267948966
1763068878.004993,-0.018928684294223785,-0.09528577327728271,0.07942185550928116,0.6013045310974121,0.7853726148605347,-0.777508020401001,0.6547129154205322,1.5707963267948966
1763068878.010158,-0.018928684294223785,-0.09528577327728271,0.07942185550928116,0.6013076901435852,0.7853726148605347,-0.777508020401001,0.6547129154205322,1.5707963267948966
1763068878.015189,-0.018928684294223785,-0.09528577327728271,0.07942185550928116,0.6013076901435852,0.7853726148605347,-0.777508020401001,0.6547129154205322,1.5707963267948966
1763068878.0203269,-0.018925487995147705,-0.09528257697820663,0.07942185550928116,0.6013045310974121,0.7853726148605347,-0.777508020401001,0.6547129154205322,1.5707963267948966
1763068878.025244,-0.018928684294223785,-0.09528577327728271,0.07942185550928116,0.6013076901435852,0.7853726148605347,-0.777508020401001,0.6547129154205322,1.5707963267948966
1763068878.0302348,-0.018928684294223785,-0.09528577327728271,0.07942185550928116,0.6013076901435852,0.7853726148605347,-0.777508020401001,0.6547129154205322,1.5707963267948966
1763068878.035254,-0.018925487995147705,-0.09528577327728271,0.07942185550928116,0.6013076901435852,0.7853726148605347,-0.777508020401001,0.6547129154205322,1.5707963267948966
