subject,rep_idx,t_rel_sec,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27
H,6,0.001735625000037544,-0.026103241369128227,30.602678298950195,-0.06355154514312744,0.5416593551635742,0.21699756383895874,-13.993788719177246,-0.8714896440505981,-4.822665691375732,-0.6541405320167542,-4.578614711761475,-0.2555065155029297,0.7536553144454956,0.8914902806282043,0.12670588493347168,-0.12116850912570953,-30.7344913482666,0.03820570930838585,1.7992948293685913,-0.22934292256832123,12.95095157623291,-0.5143342018127441,6.489954471588135,-1.1647900342941284,-9.343274116516113,0.08720149099826813,3.0604145526885986,0.6240333318710327,0.40537378191947937
H,6,0.004139457999940532,-0.026096848770976067,30.643110275268555,-0.06355154514312744,0.5628321766853333,0.21699756383895874,-14.025177001953125,-0.8714896440505981,-4.822665691375732,-0.6541405320167542,-4.589095592498779,-0.2555065155029297,0.7637805342674255,0.8914902806282043,0.12670588493347168,-0.12116850912570953,-30.724836349487305,0.03820570930838585,1.7992948293685913,-0.22934292256832123,12.94062614440918,-0.5143342018127441,6.489954471588135,-1.1647868156433105,-9.362857818603516,0.08720908313989639,3.0813024044036865,0.6240333318710327,0.4066075384616852
H,6,0.008783041000015146,-0.026096848770976067,30.592567443847656,-0.06355154514312744,0.5416593551635742,0.21699437499046326,-13.993788719177246,-0.8714896440505981,-4.812236309051514,-0.654143750667572,-4.5681328773498535,-0.2554989159107208,0.7435302138328552,0.8914655447006226,0.12793965637683868,-0.12116850912570953,-30.724836349487305,0.03820570930838585,1.7792096138000488,-0.22934292256832123,12.961276054382324,-0.5143342018127441,6.479975700378418,-1.1647868156433105,-9.353065490722656,0.08720149099826813,3.0917465686798096,0.6240333318710327,0.40290623903274536
H,6,0.014323540999953366,-0.026096848770976067,30.592567443847656,-0.06355154514312744,0.5628321766853333,0.21699756383895874,-13.97286319732666,-0.8714896440505981,-4.812236309051514,-0.654143750667572,-4.589095592498779,-0.2554989159107208,0.7536553144454956,0.8914655447006226,0.12793965637683868,-0.12116850912570953,-30.74414825439453,0.03820570930838585,1.7892522811889648,-0.22934292256832123,12.981928825378418,-0.5143342018127441,6.460017681121826,-1.1647868156433105,-9.382440567016602,0.08720149099826813,3.0813024044036865,0.6240333318710327,0.407841295003891
H,6,0.024269915999980185,-0.026096848770976067,30.582460403442383,-0.06355154514312744,0.5099000334739685,0.21699756383895874,-13.962401390075684,-0.8714896440505981,-4.833094120025635,-0.654143750667572,-4.578614711761475,-0.2554989159107208,0.7739056348800659,0.8914655447006226,0.1291734278202057,-0.12116850912570953,-30.74414825439453,0.03820890560746193,1.7792096138000488,-0.2293461114168167,12.95095157623291,-0.5143342018127441,6.509912014007568,-1.1647803783416748,-9.372648239135742,0.08720149099826813,3.0813024044036865,0.6240333318710327,0.4115426242351532
H,6,0.02848833299992748,-0.026096848770976067,30.602678298950195,-0.06355154514312744,0.5416593551635742,0.21699437499046326,-14.025177001953125,-0.8714896440505981,-4.833094120025635,-0.654143750667572,-4.578614711761475,-0.2554989159107208,0.7637805342674255,0.8914655447006226,0.12423834949731827,-0.12116850912570953,-30.782773971557617,0.03820890560746193,1.7792096138000488,-0.2293461114168167,12.971602439880371,-0.5143373608589172,6.499933242797852,-1.1647803783416748,-9.402022361755371,0.08720149099826813,3.0604145526885986,0.6240333318710327,0.4090751111507416
H,6,0.03431933299998491,-0.026100045070052147,30.622894287109375,-0.06355154514312744,0.5416593551635742,0.21699756383895874,-13.98332691192627,-0.8714896440505981,-4.822665691375732,-0.654143750667572,-4.578614711761475,-0.2554989159107208,0.7637805342674255,0.8914655447006226,0.12300458550453186,-0.12116850912570953,-30.792428970336914,0.03820890560746193,1.7792096138000488,-0.2293461114168167,12.971602439880371,-0.5143373608589172,6.519890785217285,-1.1647803783416748,-9.382440567016602,0.08720149099826813,3.0917465686798096,0.6240333318710327,0.4152439534664154
H,6,0.03897362499992596,-0.026100045070052147,30.643110275268555,-0.06355154514312744,0.5628321766853333,0.21699756383895874,-13.993788719177246,-0.8714896440505981,-4.801807403564453,-0.654143750667572,-4.557651519775391,-0.2554989159107208,0.7739056348800659,0.8914655447006226,0.1291734278202057,-0.12116531282663345,-30.792428970336914,0.03820570930838585,1.7691668272018433,-0.2293461114168167,13.002579689025879,-0.5143373608589172,6.509912014007568,-1.164777159690857,-9.392230987548828,0.08720149099826813,3.0708587169647217,0.6240333318710327,0.417711466550827
H,6,0.043501083000023755,-0.026103241369128227,30.63300132751465,-0.06355154514312744,0.5416593551635742,0.21699437499046326,-14.025177001953125,-0.8714896440505981,-4.812236309051514,-0.654143750667572,-4.5995774269104,-0.2554989159107208,0.7739056348800659,0.8914655447006226,0.12793965637683868,-0.12116531282663345,-30.802085876464844,0.03820570930838585,1.7591243982315063,-0.2293493151664734,12.971602439880371,-0.5143373608589172,6.519890785217285,-1.164777159690857,-9.402022361755371,0.08720149099826813,3.049970865249634,0.6240333318710327,0.4189452528953552
H,6,0.04896208299999216,-0.026103241369128227,30.622894287109375,-0.06355154514312744,0.5522457361221313,0.21699756383895874,-13.993788719177246,-0.8714896440505981,-4.812236309051514,-0.654143750667572,-4.610058784484863,-0.2554989159107208,0.8042811155319214,0.8914655447006226,0.12300458550453186,-0.12116531282663345,-30.792428970336914,0.03820570930838585,1.7992948293685913,-0.2293493151664734,13.012906074523926,-0.5143373608589172,6.52987003326416,-1.164777159690857,-9.41181468963623,0.08720149099826813,3.0708587169647217,0.6240333318710327,0.417711466550827
