time_iso,elapsed_s,Right_shoulder_elevation_pos_deg,Right_shoulder_protraction_pos_deg,Right_shoulder_abduction_pos_deg,Right_shoulder_rotation_pos_deg,Right_shoulder_flexion_pos_deg,Right_elbow_flexion_pos_deg,Right_wrist_pronation_pos_deg,Left_shoulder_elevation_pos_deg,Left_shoulder_protraction_pos_deg,Left_shoulder_abduction_pos_deg,Left_shoulder_rotation_pos_deg,Left_shoulder_flexion_pos_deg,Left_elbow_flexion_pos_deg,Left_wrist_pronation_pos_deg
2025-10-03T11:19:51.709,0.135697,-1.014221,-2.139954,2.218689,75.416381,61.413393,-11.883509,-34.662930,-5.721863,2.433838,-3.147583,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.709,0.135767,-1.013489,-2.139221,2.209900,75.416381,61.411925,-11.884814,-34.662930,-5.721680,2.433838,-3.147400,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.719,0.145559,-1.013123,-2.138672,2.201660,75.416381,61.410279,-11.885249,-34.664347,-5.721497,2.433838,-3.147400,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.719,0.145642,-1.012573,-2.138489,2.192322,75.416381,61.407533,-11.886119,-34.664347,-5.721497,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.729,0.155694,-1.012024,-2.138306,2.185364,75.416381,61.405702,-11.886990,-34.664347,-5.721497,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.729,0.155772,-1.011292,-2.138123,2.179321,75.416381,61.404056,-11.888294,-34.664347,-5.721497,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.739,0.165678,-1.009644,-2.138123,2.172913,75.416565,61.402588,-11.890035,-34.664347,-5.721680,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.739,0.165761,-1.007813,-2.137939,2.167419,75.416565,61.401857,-11.893081,-34.665765,-5.721863,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.748,0.175147,-1.006714,-2.137939,2.160828,75.416565,61.401311,-11.895256,-34.665765,-5.721863,2.433655,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.749,0.175226,-1.005432,-2.137573,2.154419,75.416934,61.400942,-11.896997,-34.665765,-5.722229,2.433655,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.759,0.185407,-1.002503,-2.136658,2.139954,75.418034,61.400211,-11.898737,-34.688448,-5.722046,2.433655,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.759,0.185491,-1.001404,-2.135925,2.132996,75.418764,61.399480,-11.899172,-34.695534,-5.722046,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.769,0.195194,-1.001404,-2.135925,2.132996,75.418764,61.399480,-11.899172,-34.695534,-5.722046,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.769,0.195394,-0.998840,-2.132813,2.119812,75.420048,61.399296,-11.902653,-34.705458,-5.722046,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.778,0.205136,-0.996277,-2.130981,2.113220,75.420048,61.399111,-11.904828,-34.709710,-5.722046,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.790,0.216194,-0.994263,-2.129883,2.107178,75.419864,61.399296,-11.907439,-34.712544,-5.722046,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.790,0.216280,-0.992432,-2.128418,2.099854,75.419864,61.399296,-11.910050,-34.716800,-5.722046,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.790,0.216358,-0.990784,-2.126770,2.092163,75.419864,61.399480,-11.912660,-34.719634,-5.722046,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.798,0.224695,-0.989685,-2.125855,2.082642,75.419864,61.399480,-11.915271,-34.723886,-5.722046,2.433838,-3.147583,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.809,0.236090,-0.988586,-2.125122,2.072022,75.420226,61.399296,-11.920927,-34.726721,-5.721863,2.433838,-3.147583,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.809,0.236180,-0.987671,-2.124756,2.059570,75.420410,61.399111,-11.925713,-34.728138,-5.721497,2.433838,-3.147583,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.810,0.236260,-0.986939,-2.124573,2.047302,75.420964,61.398927,-11.930064,-34.735228,-5.721130,2.433838,-3.147583,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.818,0.244937,-0.986755,-2.124939,2.035400,75.422063,61.398558,-11.937026,-34.747986,-5.721130,2.433838,-3.147400,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.828,0.255127,-0.986939,-2.125122,2.025147,75.423341,61.398012,-11.942248,-34.760742,-5.721130,2.433838,-3.147400,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.829,0.255211,-0.986755,-2.125122,2.013611,75.425909,61.398012,-11.951385,-34.769249,-5.721130,2.433838,-3.147766,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.838,0.265090,-0.986206,-2.125305,2.001709,75.427917,61.398012,-11.958781,-34.774918,-5.721130,2.433838,-3.147766,1.107422,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.839,0.265191,-0.986206,-2.125671,1.988525,75.429385,61.398012,-11.968789,-34.779173,-5.721130,2.433838,-3.147766,1.107422,-38.877505,9.068833,64.253721
2025-10-03T11:19:51.848,0.274521,-0.986755,-2.125671,1.975342,75.431216,61.397643,-11.979666,-34.782008,-5.721314,2.433838,-3.147766,1.107422,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.848,0.274605,-0.987488,-2.125671,1.962891,75.433046,61.397465,-11.985758,-34.783425,-5.721314,2.433838,-3.147583,1.107422,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.859,0.285800,-0.987671,-2.125671,1.951172,75.434508,61.397096,-11.994459,-34.784842,-5.721314,2.433838,-3.147583,1.107422,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.859,0.285884,-0.987671,-2.125671,1.938355,75.435792,61.397096,-12.003162,-34.786259,-5.721314,2.433838,-3.147583,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.869,0.295694,-0.987488,-2.125671,1.925903,75.436707,61.396912,-12.011429,-34.786259,-5.721497,2.433838,-3.147583,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.869,0.295779,-0.987488,-2.125671,1.913818,75.436892,61.395997,-12.020131,-34.786259,-5.721680,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.879,0.305689,-0.987671,-2.125671,1.903748,75.436892,61.395081,-12.027092,-34.787677,-5.721680,2.433838,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.879,0.305770,-0.987671,-2.125671,1.895691,75.436345,61.394719,-12.036229,-34.797601,-5.721863,2.434021,-3.147583,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.889,0.315662,-0.987305,-2.125671,1.888000,75.435976,61.394535,-12.041451,-34.811777,-5.721863,2.434021,-3.147583,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.889,0.315742,-0.987122,-2.125855,1.880860,75.435608,61.394897,-12.048847,-34.820284,-5.721863,2.434204,-3.147400,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.898,0.325125,-0.986939,-2.126221,1.873352,75.435246,61.395081,-12.054504,-34.827370,-5.721863,2.434204,-3.147400,1.107422,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.899,0.325207,-0.986572,-2.126221,1.864014,75.434692,61.395450,-12.062771,-34.831622,-5.722046,2.434204,-3.147583,1.107422,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.909,0.335387,-0.986206,-2.126221,1.854858,75.434146,61.395450,-12.067557,-34.834457,-5.722046,2.434204,-3.147583,1.107422,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.909,0.335468,-0.985657,-2.126221,1.844422,75.433593,61.395450,-12.076694,-34.837294,-5.721863,2.434204,-3.147583,1.107422,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.919,0.345245,-0.985107,-2.126221,1.834167,75.433046,61.394897,-12.086266,-34.837294,-5.721680,2.434204,-3.147583,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.919,0.345325,-0.984924,-2.126221,1.824280,75.432862,61.394535,-12.096274,-34.837294,-5.721497,2.434204,-3.147583,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.928,0.355150,-0.985291,-2.126221,1.815491,75.433046,61.394535,-12.109327,-34.837294,-5.721497,2.434021,-3.147583,1.107422,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.929,0.355235,-0.985291,-2.126221,1.806336,75.433231,61.394535,-12.124120,-34.838712,-5.721497,2.434021,-3.147583,1.107422,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.938,0.365158,-0.984924,-2.126221,1.797546,75.433231,61.394351,-12.140654,-34.842964,-5.721497,2.433838,-3.147583,1.107422,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.939,0.365249,-0.984924,-2.126221,1.789307,75.433415,61.394166,-12.158929,-34.855722,-5.721314,2.433838,-3.147583,1.107422,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.948,0.374558,-0.985474,-2.126221,1.780884,75.433777,61.393620,-12.176767,-34.868481,-5.721314,2.433838,-3.147583,1.107422,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.948,0.374640,-0.986206,-2.126221,1.773193,75.434146,61.392705,-12.194607,-34.878402,-5.721497,2.433838,-3.147583,1.107422,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.959,0.385840,-0.986206,-2.126038,1.767151,75.434692,61.391967,-12.213316,-34.884074,-5.721497,2.433838,-3.147583,1.107239,-38.877505,9.068398,64.253721
2025-10-03T11:19:51.959,0.385925,-0.986023,-2.126038,1.760559,75.434877,61.391605,-12.232025,-34.886909,-5.721497,2.433838,-3.147583,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.969,0.395735,-0.986023,-2.125855,1.754883,75.434877,61.391967,-12.250299,-34.886909,-5.721497,2.433838,-3.147583,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.969,0.395828,-0.986206,-2.125855,1.748474,75.434692,61.392151,-12.270750,-34.886909,-5.721497,2.433838,-3.147583,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.979,0.405689,-0.985474,-2.125671,1.741882,75.434508,61.391967,-12.288589,-34.886909,-5.721863,2.433472,-3.147583,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.979,0.405768,-0.984924,-2.125488,1.733826,75.434692,61.391967,-12.306428,-34.886909,-5.722046,2.433472,-3.147400,1.107239,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.989,0.415617,-0.984924,-2.125488,1.723572,75.435430,61.392336,-12.328618,-34.886909,-5.722046,2.433472,-3.147583,1.107056,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.989,0.415700,-0.984924,-2.124756,1.712036,75.436523,61.392151,-12.348197,-34.888326,-5.722046,2.433472,-3.147766,1.107056,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.998,0.425095,-0.984741,-2.124023,1.699951,75.438722,61.391605,-12.368648,-34.895416,-5.722046,2.433655,-3.147583,1.106873,-38.877321,9.068398,64.253721
2025-10-03T11:19:51.998,0.425178,-0.984375,-2.122009,1.673767,75.443667,61.391605,-12.405196,-34.922347,-5.721863,2.433838,-3.147400,1.106873,-38.877321,9.068398,64.253721
