subject,rep_idx,t_rel_sec,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27
S,6,0.001020499999981439,-0.027784228324890137,30.026508331298828,-0.030459105968475342,-0.6969507932662964,-0.1425291895866394,-10.091217994689941,-0.014134993776679039,-2.726454257965088,-0.39860811829566956,-4.48428201675415,-0.3101375102996826,0.9966590404510498,0.49428820610046387,0.1094331219792366,-0.08972828835248947,-30.850366592407227,0.03672286123037338,1.6386123895645142,-0.103249691426754,12.630851745605469,-0.5745077729225159,5.651726722717285,-1.0438227653503418,-8.491422653198242,0.1533297300338745,2.7888729572296143,-0.31562891602516174,0.3868672549724579
S,6,0.005651874999983875,-0.02779701165854931,30.006290435791016,-0.03038560412824154,-0.7075371742248535,-0.1405446082353592,-9.902888298034668,-0.013524597510695457,-2.684738874435425,-0.3992280960083008,-4.515725612640381,-0.31287890672683716,0.956158459186554,0.4969850480556488,0.09832920879125595,-0.08973148465156555,-30.898649215698242,0.0367196649312973,1.6486550569534302,-0.10326247662305832,12.630851745605469,-0.5745077729225159,5.651726722717285,-1.0438164472579956,-8.491422653198242,0.1533297300338745,2.820204734802246,-0.31562891602516174,0.3905685842037201
S,6,0.009880249999980606,-0.0278065986931324,29.965858459472656,-0.030312100425362587,-0.6863643527030945,-0.1386399120092392,-9.892426490783691,-0.012933376245200634,-2.5700206756591797,-0.3997969627380371,-4.536688804626465,-0.3155671954154968,0.8852824568748474,0.499607652425766,0.10203050822019577,-0.08973148465156555,-30.888992309570312,0.0367196649312973,1.6787830591201782,-0.1032656729221344,12.630851745605469,-0.574504554271698,5.601831912994385,-1.0438164472579956,-8.520796775817871,0.1533297300338745,2.820204734802246,-0.31562891602516174,0.3918023109436035
S,6,0.01564004200000113,-0.027812989428639412,29.975967407226562,-0.0302609670907259,-0.6651915311813354,-0.13674479722976685,-9.798262596130371,-0.012390091083943844,-2.4865896701812744,-0.40026354789733887,-4.526207447052002,-0.31814154982566833,0.8852824568748474,0.502180814743042,0.10819936543703079,-0.08972509205341339,-30.937273025512695,0.0367196649312973,1.6988683938980103,-0.10326886922121048,12.651503562927246,-0.574498176574707,5.621789455413818,-1.0438164472579956,-8.501214027404785,0.1533297300338745,2.7993171215057373,-0.31562891602516174,0.3893347978591919
S,6,0.020266666999987137,-0.027816185727715492,29.90520668029785,-0.03020663931965828,-0.6546051502227783,-0.13492639362812042,-9.735486030578613,-0.011872372590005398,-2.538733959197998,-0.40067258477211,-4.547170639038086,-0.3206399381160736,0.8852824568748474,0.5047539472579956,0.12670588493347168,-0.08971870690584183,-30.946929931640625,0.03671327605843544,1.6787830591201782,-0.1032656729221344,12.620526313781738,-0.5744950175285339,5.64174747467041,-1.0438196659088135,-8.520796775817871,0.1533297300338745,2.820204734802246,-0.31562891602516174,0.3881010115146637
S,6,0.026066041999996514,-0.027816185727715492,29.844558715820312,-0.030165093019604683,-0.6546051502227783,-0.13314634561538696,-9.735486030578613,-0.011332283727824688,-2.4344449043273926,-0.40102094411849976,-4.526207447052002,-0.3230700194835663,0.9156578183174133,0.5072775483131409,0.12423834949731827,-0.08971551060676575,-30.91796112060547,0.03670688346028328,1.7089110612869263,-0.10326247662305832,12.630851745605469,-0.5744950175285339,5.64174747467041,-1.0438196659088135,-8.491422653198242,0.1533297300338745,2.7784292697906494,-0.31562891602516174,0.3905685842037201
S,6,0.030710959000003868,-0.027812989428639412,29.743473052978516,-0.030107568949460983,-0.6863643527030945,-0.1314333975315094,-9.70409870147705,-0.010884872637689114,-2.3614425659179688,-0.4012925922870636,-4.620540142059326,-0.3254241645336151,0.7941559553146362,0.5098012089729309,0.12670588493347168,-0.08971231430768967,-30.937273025512695,0.0367036871612072,1.7089110612869263,-0.1032656729221344,12.641178131103516,-0.5745013952255249,5.631768703460693,-1.0438196659088135,-8.501214027404785,0.1533297300338745,2.7888729572296143,-0.31562891602516174,0.3856334984302521
S,6,0.03533500000000345,-0.0278065986931324,29.7737979888916,-0.030056437477469444,-0.6863643527030945,-0.12975241243839264,-9.72502326965332,-0.010472615249454975,-2.351013660430908,-0.4015066921710968,-4.620540142059326,-0.32768714427948,0.9055326581001282,0.5122506618499756,0.1291734278202057,-0.08971231430768967,-30.937273025512695,0.0367036871612072,1.6787830591201782,-0.1032656729221344,12.641178131103516,-0.5745013952255249,5.631768703460693,-1.0438196659088135,-8.501214027404785,0.1533297300338745,2.809760808944702,-0.31562891602516174,0.3905685842037201
S,6,0.04094187499998725,-0.027812989428639412,29.703041076660156,-0.029992520809173584,-0.6440187096595764,-0.12811297178268433,-9.568083763122559,-0.010095511563122272,-2.4344449043273926,-0.4016728699207306,-4.651983737945557,-0.3298058807849884,0.9359080791473389,0.5144031643867493,0.1316409558057785,-0.08971231430768967,-30.91796112060547,0.03670688346028328,1.6285698413848877,-0.1032656729221344,12.661828994750977,-0.5745013952255249,5.64174747467041,-1.0438196659088135,-8.481632232666016,0.1533297300338745,2.809760808944702,-0.31562891602516174,0.3930360972881317
S,6,0.045208333999994466,-0.027812989428639412,29.622175216674805,-0.029947780072689056,-0.6016730666160583,-0.12653744220733643,-9.630860328674316,-0.00974716991186142,-2.257153272628784,-0.4017719626426697,-4.777761459350586,-0.3318866193294525,0.946033239364624,0.5163082480430603,0.1341084986925125,-0.08970911800861359,-30.937273025512695,0.03671327605843544,1.6687405109405518,-0.1032656729221344,12.630851745605469,-0.5745013952255249,5.621789455413818,-1.0438196659088135,-8.520796775817871,0.1533297300338745,2.820204734802246,-0.31562891602516174,0.3918023109436035
S,6,0.05098220899998296,-0.0278065986931324,29.682825088500977,-0.02989984303712845,-0.6228458881378174,-0.12499067187309265,-9.630860328674316,-0.009433981962502003,-2.194580078125,-0.4018007218837738,-4.777761459350586,-0.333914190530777,0.9055326581001282,0.5181885957717896,0.1328747421503067,-0.08970911800861359,-30.91796112060547,0.03671646863222122,1.6386123895645142,-0.1032656729221344,12.610199928283691,-0.574498176574707,5.671684741973877,-1.0438196659088135,-8.481632232666016,0.15332214534282684,2.7888729572296143,-0.31562891602516174,0.3905685842037201
S,6,0.055611499999997704,-0.02780979499220848,29.67271614074707,-0.029877472668886185,-0.591086745262146,-0.12349504232406616,-9.473920822143555,-0.00917831901460886,-2.236295700073242,-0.4017719626426697,-4.8301682472229,-0.3358202874660492,0.8852824568748474,0.52001953125,0.13534227013587952,-0.08971231430768967,-30.90830421447754,0.0367196649312973,1.6586977243423462,-0.10325928032398224,12.599875450134277,-0.574498176574707,5.631768703460693,-1.0438196659088135,-8.491422653198242,0.15332214534282684,2.809760808944702,-0.31562891602516174,0.3856334984302521
S,6,0.05982370899999978,-0.027822576463222504,29.642393112182617,-0.029861493036150932,-0.5699138641357422,-0.12204095721244812,-9.536696434020996,-0.0089418301358819,-2.079862117767334,-0.40169525146484375,-4.893056869506836,-0.3376808166503906,0.895407497882843,0.5218008756637573,0.13780981302261353,-0.08971551060676575,-30.869680404663086,0.0367196649312973,1.6486550569534302,-0.10325928032398224,12.579222679138184,-0.574498176574707,5.571895122528076,-1.0438196659088135,-8.481632232666016,0.15332214534282684,2.7888729572296143,-0.31562891602516174,0.3856334984302521
S,6,0.0655986250000069,-0.027825772762298584,29.71314811706543,-0.029864689335227013,-0.5805002450942993,-0.11926061660051346,-9.400681495666504,-0.008622250519692898,-1.9651440382003784,-0.4014939069747925,-5.039796352386475,-0.3412499725818634,0.9156578183174133,0.5252400040626526,0.13534227013587952,-0.08971870690584183,-30.869680404663086,0.03672286123037338,1.5783565044403076,-0.10325928032398224,12.599875450134277,-0.5744885802268982,5.591853141784668,-1.0438227653503418,-8.442465782165527,0.15332214534282684,2.7888729572296143,-0.31562891602516174,0.37823086977005005
S,6,0.07024720900000148,-0.027838556095957756,29.682825088500977,-0.029864689335227013,-0.5699138641357422,-0.11794714629650116,-9.369294166564941,-0.008539159782230854,-1.8295683860778809,-0.4013564884662628,-5.10268497467041,-0.3429282307624817,0.9156578183174133,0.5267492532730103,0.1328747421503067,-0.08972190320491791,-30.850366592407227,0.03672925382852554,1.5883991718292236,-0.10326247662305832,12.579222679138184,-0.5744885802268982,5.581874370574951,-1.0438227653503418,-8.442465782165527,0.15332214534282684,2.83064866065979,-0.31562891602516174,0.37946462631225586
S,6,0.07618195899999591,-0.027851339429616928,29.703041076660156,-0.029864689335227013,-0.5381546020507812,-0.11668800562620163,-9.348369598388672,-0.00851678941398859,-1.756565809249878,-0.40119031071662903,-5.17605447769165,-0.34461408853530884,0.8447818160057068,0.5279615521430969,0.1316409558057785,-0.08972509205341339,-30.802085876464844,0.036732450127601624,1.5883991718292236,-0.10326247662305832,12.599875450134277,-0.5744854211807251,5.591853141784668,-1.0438227653503418,-8.471839904785156,0.15332214534282684,2.7888729572296143,-0.31562891602516174,0.37946462631225586
S,6,0.0808164999999974,-0.027851339429616928,29.703041076660156,-0.029864689335227013,-0.5381546020507812,-0.11668800562620163,-9.348369598388672,-0.00851678941398859,-1.756565809249878,-0.40119031071662903,-5.17605447769165,-0.34461408853530884,0.8447818160057068,0.5279615521430969,0.1316409558057785,-0.08972509205341339,-30.802085876464844,0.036732450127601624,1.5883991718292236,-0.10326247662305832,12.599875450134277,-0.5744854211807251,5.591853141784668,-1.0438227653503418,-8.471839904785156,0.15332214534282684,2.7888729572296143,-0.31562891602516174,0.37946462631225586
S,6,0.0854563750000068,-0.027883296832442284,29.642393112182617,-0.029867885634303093,-0.5063954591751099,-0.11416971683502197,-9.254203796386719,-0.008619055151939392,-1.7044214010238647,-0.4007652699947357,-5.249424934387207,-0.3478187620639801,0.895407497882843,0.5302377939224243,0.13534227013587952,-0.08972190320491791,-30.869680404663086,0.036732450127601624,1.6084843873977661,-0.10326247662305832,12.558570861816406,-0.5744822025299072,5.571895122528076,-1.0438227653503418,-8.462047576904297,0.15332214534282684,2.7888729572296143,-0.31562891602516174,0.37823086977005005
S,6,0.09010333399999126,-0.027896080166101456,29.632286071777344,-0.029874276369810104,-0.41111767292022705,-0.11304160207509995,-9.191429138183594,-0.00869255792349577,-1.5897032022476196,-0.4004936218261719,-5.2913498878479,-0.34937551617622375,0.8751572370529175,0.5313511490821838,0.14151111245155334,-0.08971551060676575,-30.888992309570312,0.036732450127601624,1.5783565044403076,-0.10325928032398224,12.548246383666992,-0.5744822025299072,5.561916351318359,-1.0438227653503418,-8.45225715637207,0.15332214534282684,2.7888729572296143,-0.31562891602516174,0.37823086977005005
S,6,0.09554374999999027,-0.027896080166101456,29.632286071777344,-0.029883863404393196,-0.4534633159637451,-0.11194225400686264,-9.201891899108887,-0.008785235695540905,-1.5167009830474854,-0.40021559596061707,-5.364720344543457,-0.350955069065094,0.895407497882843,0.5324150323867798,0.14274488389492035,-0.08971551060676575,-30.888992309570312,0.036732450127601624,1.59844172000885,-0.10325928032398224,12.548246383666992,-0.5744822025299072,5.571895122528076,-1.0438227653503418,-8.462047576904297,0.15332214534282684,2.7888729572296143,-0.31562891602516174,0.37452957034111023
S,6,0.10019516699998121,-0.027899276465177536,29.601959228515625,-0.029893452301621437,-0.4005313217639923,-0.11087805032730103,-9.097264289855957,-0.008887501433491707,-1.4645565748214722,-0.39987045526504517,-5.385683059692383,-0.3524738550186157,0.9055326581001282,0.5334294438362122,0.14644618332386017,-0.08971231430768967,-30.90830421447754,0.036732450127601624,1.6185270547866821,-0.10325928032398224,12.548246383666992,-0.5744822025299072,5.551937580108643,-1.0438227653503418,-8.471839904785156,0.15332214534282684,2.809760808944702,-0.31562891602516174,0.37699711322784424
S,6,0.10595995899998911,-0.027899276465177536,29.53120231628418,-0.02989984303712845,-0.389944851398468,-0.10987457633018494,-9.097264289855957,-0.009037703275680542,-1.4436986446380615,-0.39951252937316895,-5.41712760925293,-0.35396987199783325,0.9055326581001282,0.5342954397201538,0.14027734100818634,-0.08971231430768967,-30.90830421447754,0.036732450127601624,1.59844172000885,-0.10325928032398224,12.568897247314453,-0.5744822025299072,5.591853141784668,-1.0438259840011597,-8.471839904785156,0.15332214534282684,2.7888729572296143,-0.31562891602516174,0.37823086977005005
S,6,0.11024104199998419,-0.027896080166101456,29.4604434967041,-0.02990623377263546,-0.35818567872047424,-0.10893181711435318,-9.128653526306152,-0.009200689382851124,-1.4124119281768799,-0.3991130590438843,-5.459052562713623,-0.35545068979263306,0.8852824568748474,0.5348644852638245,0.14027734100818634,-0.08971231430768967,-30.9276180267334,0.036732450127601624,1.5783565044403076,-0.10325928032398224,12.610199928283691,-0.5744822025299072,5.531980037689209,-1.0438259840011597,-8.45225715637207,0.1533297300338745,2.7784292697906494,-0.31562891602516174,0.38069841265678406
S,6,0.11595941699999912,-0.027886493131518364,29.490768432617188,-0.029922213405370712,-0.3370128571987152,-0.10800822824239731,-9.034488677978516,-0.009373261593282223,-1.3811252117156982,-0.3986816108226776,-5.4380903244018555,-0.35691630840301514,0.9055326581001282,0.5353593230247498,0.1341084986925125,-0.08971231430768967,-30.91796112060547,0.03672925382852554,1.5883991718292236,-0.10325928032398224,12.599875450134277,-0.5744822025299072,5.551937580108643,-1.0438259840011597,-8.45225715637207,0.15332214534282684,2.7888729572296143,-0.31562891602516174,0.3843997120857239
S,6,0.12065070899998886,-0.027896080166101456,29.470550537109375,-0.029928606003522873,-0.34759920835494995,-0.10712938755750656,-8.992637634277344,-0.009574596770107746,-1.349838376045227,-0.3982214331626892,-5.469534873962402,-0.3583363890647888,0.9055326581001282,0.5357798933982849,0.13534227013587952,-0.08971231430768967,-30.898649215698242,0.03672925382852554,1.6084843873977661,-0.10326247662305832,12.599875450134277,-0.5744822025299072,5.561916351318359,-1.0438259840011597,-8.462047576904297,0.15332214534282684,2.7993171215057373,-0.31562891602516174,0.3893347978591919
S,6,0.12550991699998804,-0.027899276465177536,29.450334548950195,-0.029931800439953804,-0.3264263868331909,-0.10631765425205231,-8.992637634277344,-0.009769540280103683,-1.339409589767456,-0.3977516293525696,-5.459052562713623,-0.35977163910865784,0.8852824568748474,0.5361510515213013,0.13780981302261353,-0.08970911800861359,-30.937273025512695,0.03672925382852554,1.6185270547866821,-0.1032656729221344,12.620526313781738,-0.5744790434837341,5.551937580108643,-1.0438259840011597,-8.45225715637207,0.1533297300338745,2.7888729572296143,-0.31562891602516174,0.3868672549724579
