t_sec,sabd_deg_abs,sabd_deg_zeroed,sabd_vel_deg_s,sabd_trq_Nm
0.279917,-5.293982204163271,-1.1706781825468653,-0.016109533972189862,-7.58677864074707
0.286744,-5.294072762790403,-1.1707687411739975,-0.013264550795017246,-7.565816402435303
0.296027,-5.294209349108106,-1.1709053274917007,-0.014713492364078632,-7.628705024719238
0.302641,-5.294289921954776,-1.17098590033837,-0.01218222173232381,-7.723037242889404
0.309991,-5.294431369025672,-1.171127347409266,-0.01924520761824031,-7.670630931854248
0.317046,-5.294542511184236,-1.1712384895678305,-0.01575357372969815,-7.806888580322266
0.325411,-5.294684979326029,-1.1713809577096237,-0.017031143390405432,-7.869777679443359
0.332389,-5.29481538296387,-1.1715113613474646,-0.018687730620835254,-7.9326653480529785
0.339109,-5.295014844457177,-1.1717108228407715,-0.02968147801118878,-7.943146705627441
0.347031,-5.295239616594731,-1.1719355949783257,-0.0283733913874798,-8.006035804748535
0.353748,-5.295460812897037,-1.1721567912806314,-0.032930981278042906,-7.974591255187988
0.362572,-5.295847223314511,-1.1725432016981054,-0.04379148229270151,-7.943146705627441
0.369335,-5.29625194382161,-1.1729479222052044,-0.05984350425887072,-7.985073089599609
0.376929,-5.296759965933359,-1.1734559443169532,-0.06689687226536989,-7.974591255187988
0.383875,-5.297272619961047,-1.1739685983446417,-0.07380472434097851,-7.922183990478516
0.392321,-5.29807239061284,-1.1747683689964346,-0.09469248394911021,-7.890740394592285
0.399735,-5.298814786263879,-1.1755107646474734,-0.10013612840027059,-7.911702632904053
0.408611,-5.299629594739899,-1.176325573123493,-0.09179818018756167,-7.859295845031738
0.416021,-5.300215874727772,-1.176911853111366,-0.07911957845096614,-7.8173699378967285
0.424182,-5.300767167644724,-1.1774631460283187,-0.06755353900920903,-7.8802595138549805
0.431574,-5.30120693616277,-1.1779029145463644,-0.05949114189044523,-7.911702632904053
0.438648,-5.301551251310522,-1.178247229694116,-0.048674162503370824,-7.922183990478516
0.445957,-5.301840582643611,-1.1785365610272054,-0.03958455059862916,-7.859295845031738
0.452592,-5.30205792141157,-1.178753899795164,-0.032756651830977784,-7.8802595138549805
0.459889,-5.302252371589345,-1.1789483499729396,-0.02664781933100089,-7.827851295471191
0.466561,-5.302462823251806,-1.1791588016354,-0.031542962037741484,-7.859295845031738
0.474801,-5.30266928951923,-1.1793652679028241,-0.025056632948184412,-7.890740394592285
0.481852,-5.302813920926254,-1.1795098993098483,-0.020512903290399696,-7.785926342010498
0.488753,-5.3029302620234136,-1.179626240407008,-0.016857939928868904,-7.806888580322266
0.496259,-5.303032651919589,-1.1797286303031838,-0.013641266472584167,-7.796407222747803
0.503069,-5.303109176519805,-1.1798051549033994,-0.011237175254105511,-7.744000434875488
0.511985,-5.303187445042249,-1.179883423425843,-0.008778297102961033,-7.775444984436035
0.518488,-5.303234846967271,-1.1799308253508656,-0.007289121708813424,-7.785926342010498
0.525746,-5.303277926723727,-1.179973905107321,-0.005935731244707526,-7.806888580322266
0.532309,-5.3033102245852515,-1.1800062029688458,-0.004921063999744201,-7.754481315612793
0.539278,-5.303338359573114,-1.180034337956708,-0.00403717728806427,-7.8173699378967285
0.546391,-5.303361830990914,-1.1800578093745084,-0.0032998009507988306,-7.827851295471191
0.552858,-5.303379567598937,-1.1800755459825316,-0.0027425889761491856,-7.859295845031738
0.56025,-5.303396019980543,-1.1800919983641371,-0.0022257221641588283,-7.901221752166748
0.566765,-5.303408056945683,-1.1801040353292773,-0.0018475697517137634,-7.943146705627441
0.5749,-5.30342002741688,-1.1801160058004747,-0.0014715063078863959,-7.911702632904053
0.581869,-5.30342844063282,-1.1801244190164146,-0.0012071973339830917,-7.9326653480529785
0.588458,-5.303435030659421,-1.1801310090430155,-0.0010001655424843822,-7.901221752166748
0.595987,-5.30344112033524,-1.1801370987188342,-0.0008088527343456102,-7.869777679443359
0.602385,-5.303414780045025,-1.1801107584286195,0.004116980980395249,-7.827851295471191
0.609775,-5.303355580323238,-1.1800515587068325,0.008010505206625043,-7.827851295471191
0.616758,-5.303309706394849,-1.1800056847784433,0.006569333242476261,-7.827851295471191
0.62514,-5.303151693440316,-1.17984767182391,0.018851813836925392,-7.796407222747803
0.632589,-5.302968434988677,-1.1796644133722713,0.024601256456967733,-7.670630931854248
0.639278,-5.302768848265908,-1.179464826649502,0.029837731310886885,-7.649667739868164
0.646887,-5.302620950841988,-1.1793169292255827,0.019438058369141132,-7.670630931854248
0.653452,-5.302546468529834,-1.1792424469134284,0.011344789185394808,-7.58677864074707
0.662488,-5.302466624284817,-1.179162602668411,0.008836408249648342,-7.51340913772583
0.669078,-5.3024183795676985,-1.1791143579512928,0.007320755760921186,-7.492445945739746
0.676471,-5.3023744588494255,-1.1790704372330199,0.00594094570224453,-7.44003963470459
0.683076,-5.302341961454186,-1.1790379398377802,0.004920009920712955,-7.429558753967285
0.691719,-5.302308519495164,-1.1790044978787586,0.0038693997928808477,-7.335225582122803
0.698731,-5.302286284883951,-1.178982263267545,0.0031708788803975012,-7.272336483001709
